,threshold
60416207185,3256.2042292186634
60422928733,1463.2122852505427
60423098130,41247.06879849711
60427851591,1515.3160299601598
60487002085,
60490596305,1516.9729035045675
501802953619,5524.47183233114
501818133297,1172.7417073625372
501828204849,2067.803834967348
501831082224,1401.3719265732675
501851115094,1745.067054510037
501882822387,5637.785987070222
501894933032,1225.8312896559048
501899453424,4373.247058025034
502012776709,1721.1757527489717
502038091380,1402.7510076868607
502049568400,8127.189427954796
503848303379,2233.9504842393344
503874407318,2475.9073326828366
503886119844,1289.053068763164
560881134780,1314.2616414569638
561942763351,1717.2319261823231
565399283797,1283.4979301577441
567868110212,2411.195465395539
568279015842,910.6350428836013
570273151375,
571314334723,2332.0291433083357
571365235126,3379.262094100569
571465035400,1417.8797090725438
571844099986,2585.216239114472
573283817795,2234.1397363440446
573860193545,3724.811672943614
577588686219,
577891228931,1359.774718034164
580954173374,3890.713504928748
581293083266,1513.1900852694876
581508178315,609.1928618884518
581686439828,3211.18456855133
583699482621,7064.995414215255
584673555952,2904.8100556618247
630412733309,1229.821551046219
630423337322,3128.884950865236
630424987505,4683.547011220326
630425673344,9824.662733139656
630441765090,11639.648313713124
630451534402,9558.629481919037
630469040731,1675.7250328239425
630471368021,1501.3307280652668
630484879808,843.2084125693433
639023984367,8262.980736512176
639030014711,1329.146294921547
639046421587,636.2536266859565
639077309909,1201.284814545291
639095706599,1580.7370031077307
675909898057,22475.06743380653
675945690716,3905.6249805501766
675961917837,19786.748144999747
675990301623,2054.551550644574
676102124465,2161.582026235589
676118385837,1292.8641414114145
676148621961,1403.4331154015729
676173792455,4090.5801523774094
676179782773,1182.1412451579142
676195318214,3359.6576740932023
676234256292,1657.1109216501652
676245600876,2686.930932008395
676248282243,1528.9742090804402
676275912597,637.5574174950348
676281772837,10922.241198853906
676292294938,1082.2124987004588
676298633337,2109.567019964447
676308307625,2529.6606189285044
676309913934,1552.9740952025327
676314217768,1676.9399496917154
676326610042,1201.2888412442571
676327197445,1215.1628658881068
676369110710,2379.38574746605
676372984911,3543.9121384592872
4006047418382,1223.928260533727
4026222041577,2088.1694295822335
4066595222529,2130.7272807025247
4076173495454,1469.789808843766
4079773899158,1315.5659826336469
4103158249977,590.1545527730809
4149635823017,4115.897652828609
4158008602445,1361.9977714142165
4169388510116,5450.046822758124
4186530744674,2125.8775744201075
4189814094741,1546.5359967586903
4195740185974,1199.596799722685
4198470814557,4030.037938850207
4220345354880,4218.178942756013
4239436242473,3449.028919903185
4247921790666,1714.2671468215722
4259996134423,2986.1646828306625
4260128500325,1454.9585565474642
4279161831637,4439.4620744099775
